ID;FECHA DE EXPORTACIÓN;CÓDIGO ENERGIS EXPORTACIÓN;ODT HIJA;ESTADO INICIAL ODT;GRUPO;FECHA DE IMPORTACIÓN;DIA;CÓDIGO ENERGIS IMPORTACIÓN;ESTADO FINAL ODT;BARRIO;ZONA;COMUNA;EXPANSIONES;ACTUALIZACIÓN;NODOS TOTALES;;;
1;22/05/2026;126062;38;EXPORTADA;Levantadores 4;25/05/2026;Lunes;127182;TERMINADA;SAN JUDAS TADEO;CENTRO;10;0;0;0;;;
2;21/05/2026;125222;39;EXPORTADA;Levantadores 1;25/05/2026;Lunes;128745;ANALISIS;SAN JUDAS TADEO;CENTRO;10;0;0;0;;;
3;21/05/2026;125229;40;EXPORTADA;Levantadores 3;25/05/2026;Lunes;129151;ANALISIS;SANTO DOMINGO;CENTRO;10;0;0;0;;;
4;22/05/2026;126060;41;EXPORTADA;Levantadores 3;26/05/2026;Martes;128742;TERMINADA;SAN JUDAS TADEO;CENTRO;10;0;22;22;;;
5;25/05/2026;127254;42;EXPORTADA;Levantadores 2;26/05/2026;Martes;128202;ANALISIS;SAN JUDAS TADEO;CENTRO;10;0;22;22;;;
6;22/05/2026;126059;43;EXPORTADA;Levantadores 1;25/05/2026;Lunes;127177;ANALISIS;SANTO DOMINGO;CENTRO;10;0;2;2;;TOTAL EXPANSIONES;429
7;25/05/2026;127296;44;EXPORTADA;Levantadores 2;27/05/2026;Miercoles;129154;TERMINADA;SAN JUDAS TADEO;CENTRO;10;0;21;21;;TOTAL ACTUALIZADOS;2058
8;22/05/2026;126052;45;EXPORTADA;Levantadores 2;25/05/2026;Lunes;127180;TERMINADA;SANTO DOMINGO;CENTRO;10;0;3;3;;;
9;25/05/2026;127297;48;EXPORTADA;Levantadores 4;26/05/2026;Martes;128207;ANALISIS;SAN JUDAS TADEO;CENTRO;10;0;21;21;;;
10;25/05/2026;127917;51;EXPORTADA;Levantadores 4;27/05/2026;Miercoles;129678;TERMINADA;PRADOS DE NORTE;NORTE;2;24;0;24;;;
11;25/05/2026;127913;52;EXPORTADA;Levantadores 1;26/05/2026;Martes;128746;TERMINADA;TRES CRUCES (CHIPICHAPE);NORTE;2;0;0;0;;;
12;26/05/2026;128955;53;EXPORTADA;Levantadores 3;27/05/2026;Miercoles;129676;TERMINADA;VIPASA;NORTE;2;28;0;28;;;
13;26/05/2026;128892;57;EXPORTADA;Levantadores 1;27/05/2026;Miercoles;129698;TERMINADA;PRADOS DE NORTE;NORTE;2;10;0;10;;;
14;27/05/2026;129813;58;EXPORTADA;Levantadores 1;28/05/2026;Jueves;130333;TERMINADA;CALLE 5;CENTRO;VARIAS;4;0;4;;;
15;29/05/2026;129832;59;EXPORTADA;Levantadores 3;28/05/2026;Jueves;130332;TERMINADA;CALLE 5;CENTRO;VARIAS;0;0;0;;;
16;27/05/2026;129857;60;EXPORTADA;Levantadores 4;28/05/2026;Jueves;130322;TERMINADA;CALLE 5;CENTRO;VARIAS;0;14;14;;;
17;28/05/2026;130730;65;EXPORTADA;Levantadores 1;01/06/2026;Lunes;133175;TERMINADA;SAN PEDRO;NORTE;3;52;0;52;;;
18;28/05/2026;130731;66;EXPORTADA;Levantadores 3;01/06/2026;Lunes;133146;TERMINADA;SAN PEDRO;NORTE;3;41;0;41;;;
19;28/05/2026;130732;67;EXPORTADA;Levantadores 4;01/06/2026;Lunes;133187;TERMINADA;SIN BARRIO;SIN ZONA;SIN COMUNA;0;0;0;;;
20;31/05/2026;132750;68;EXPORTADA;Levantadores 4;01/06/2026;Lunes;133173;TERMINADA;INGENIO;SUR;17;23;0;23;;;
21;01/06/2026;133313;78;EXPORTADA;Levantadores 3;02/06/2026;Martes;134034;TERMINADA;SAN PEDRO;CENTRO;3;0;24;24;;;
22;01/06/2026;133314;79;EXPORTADA;Levantadores 1;02/06/2026;Martes;133989;TERMINADA;CANEY;SUR;17;18;0;18;;;
23;01/06/2026;133316;80;EXPORTADA;Levantadores 2;06/06/2026;Sabado;137693;ANALISIS;CANEY;SUR;17;1;0;1;;;
24;01/06/2026;133317;81;EXPORTADA;Levantadores 3;02/06/2026;Martes;134002;TERMINADA;CIUDAD CAPRI;SUR;17;21;0;21;;;
25;01/06/2026;133318;82;EXPORTADA;Levantadores 4;02/06/2026;Martes;133988;TERMINADA;EL INGENIO;SUR;17;20;0;20;;;
26;02/06/2026;134466;83;EXPORTADA;Levantadores 1;03/06/2026;Miercoles;134968;TERMINADA;TRES CRUCES (CHIPICHAPE);NORTE;2;19;1;20;;;
27;02/06/2026;134468;84;EXPORTADA;Levantadores 1;03/06/2026;Miercoles;134974;TERMINADA;TRES CRUCES (CHIPICHAPE);NORTE;2;9;0;9;;;
28;02/06/2026;134471;86;EXPORTADA;Levantadores 3;03/06/2026;Miercoles;134875;TERMINADA;SANTA ANITA;SUR;17;14;0;14;;;
29;02/06/2026;134472;87;EXPORTADA;Levantadores 4;03/06/2026;Miercoles;134790;TERMINADA;SAN PEDRO;CENTRO;3;12;0;12;;;
30;03/06/2026;134920;95;EXPORTADA;Levantadores 1;04/06/2026;Jueves;136022;TERMINADA;CANEY;SUR;17;19;0;19;;;
31;03/06/2026;134922;96;EXPORTADA;Levantadores 3;04/06/2026;Jueves;136058;TERMINADA;VALLE DEL LILI;SUR;17;20;0;20;;;
32;03/06/2026;134923;97;EXPORTADA;Levantadores 4;04/06/2026;Jueves;136027;TERMINADA;VALLE DEL LILI;SUR;17;24;0;24;;;
33;04/06/2026;136185;98;EXPORTADA;Levantadores 1;05/06/2026;Viernes;136954;TERMINADA;SAN JOAQUIN;SUR;17;4;21;25;;;
34;04/06/2026;136300;102;EXPORTADA;Levantadores 3;05/06/2026;Viernes;136950;TERMINADA;BOCHALEMA;SUR;22;24;0;24;;;
35;04/06/2026;136302;103;EXPORTADA;Levantadores 3;05/06/2026;Viernes;136922;TERMINADA;BOCHALEMA;SUR;22;22;0;22;;;
36;08/06/2026;138609;112;EXPORTADA;Levantadores 3;10/06/2026;Miercoles;140069;TERMINADA;CRISTOBAL COLON;CENTRO;10;0;0;0;;;
37;10/06/2026;139755;113;EXPORTADA;Levantadores 3;10/06/2026;Miercoles;140055;TERMINADA;SAN JUDAS TADEO 1;CENTRO;10;0;23;23;;;
38;09/06/2026;138639;114;EXPORTADA;Levantadores 1;10/06/2026;Miercoles;140059;TERMINADA;SAN JUDAS TADEO 1;CENTRO;10;0;30;30;;;
39;09/06/2026;138640;115;EXPORTADA;Levantadores 1;09/06/2026;Martes;138996;TERMINADA;SAN JUDAS TADEO 1;CENTRO;10;0;22;22;;;
40;09/06/2026;138641;116;EXPORTADA;Levantadores 2;09/06/2026;Martes;139091;TERMINADA;SAN JUDAS TADEO 1;CENTRO;10;0;32;32;;;
41;10/06/2026;138642;117;EXPORTADA;Levantadores 2;10/06/2026;Miercoles;140050;TERMINADA;SAN JUDAS TADEO 1;CENTRO;10;0;32;32;;;
42;09/06/2026;138643;118;EXPORTADA;Levantadores 2;11/06/2026;Jueves;141123;TERMINADA;SAN JUDAS TADEO 1;CENTRO;10;0;41;41;;;
43;09/06/2026;138644;119;EXPORTADA;Levantadores 4;10/06/2026;Miercoles;140045;TERMINADA;SAN JUDAS TADEO 1;CENTRO;10;0;36;36;;;
44;09/06/2026;138645;120;EXPORTADA;Levantadores 4;10/06/2026;Miercoles;140056;TERMINADA;SAN JUDAS TADEO 1;CENTRO;10;0;7;7;;;
45;09/06/2026;138646;121;EXPORTADA;Levantadores 4;09/06/2026;Martes;139011;TERMINADA;SAN JUDAS TADEO 1;CENTRO;10;0;28;28;;;
46;09/06/2026;138828;122;EXPORTADA;Levantadores 3;09/06/2026;Martes;139102;TERMINADA;SAN JUDAS TADEO 1;CENTRO;10;11;0;11;;;
47;09/06/2026;138946;131;EXPORTADA;Levantadores 3;09/06/2026;Martes;139117;TERMINADA;SAN JUDAS TADEO 1;CENTRO;10;0;2;2;;;
48;11/06/2026;140774;133;EXPORTADA;Levantadores 1;16/06/2026;Jueves;144088;TERMINADA;SANTA ELENA;CENTRO;10;1;28;29;;;
49;11/06/2026;140775;134;EXPORTADA;Levantadores 1;11/06/2026;Jueves;144118;TERMINADA;SANTA ELENA;CENTRO;10;0;23;23;;;
50;12/06/2026;140776;135;EXPORTADA;Levantadores 1;12/06/2026;Viernes;141931;TERMINADA;SANTA ELENA;CENTRO;10;0;29;29;;;
51;11/06/2026;140777;136;EXPORTADA;Levantadores 3;11/06/2026;Jueves;141137;ANALISIS;SANTA ELENA;CENTRO;10;0;22;22;;;
52;11/06/2026;140796;137;EXPORTADA;Levantadores 3;12/06/2026;Viernes;141935;TERMINADA;SANTA ELENA;CENTRO;10;0;18;18;;;
53;11/06/2026;140803;138;EXPORTADA;Levantadores 3;17/06/2026;Miercoles;145040;ANALISIS;SANTA ELENA;CENTRO;10;0;31;31;;;
54;11/06/2026;140813;139;EXPORTADA;Levantadores 4;11/06/2026;Jueves;141131;TERMINADA;SANTA ELENA;CENTRO;10;0;9;9;;;
55;11/06/2026;140814;140;EXPORTADA;Levantadores 4;12/06/2026;Viernes;141934;TERMINADA;SANTA ELENA;CENTRO;10;0;31;31;;;
56;12/06/2026;141595;141;EXPORTADA;Levantadores 2;16/06/2026;Martes;144146;ANALISIS;SANTA ELENA;CENTRO;10;0;36;36;;;
57;26/06/2026;150694;142;EXPORTADA;Levantadores 1;26/06/2026;Viernes;150949;TERMINADA;SANTA ELENA;CENTRO;10;0;28;28;;;
58;12/06/2026;141596;143;EXPORTADA;Levantadores 2;12/06/2026;Viernes;141932;TERMINADA;SANTA ELENA;CENTRO;10;0;38;38;;;
59;26/06/2026;150695;144;EXPORTADA;Levantadores 2;01/07/2026;Miercoles;153307;TERMINADA;SANTA ELENA;CENTRO;10;0;34;34;;;
60;16/06/2026;143919;145;EXPORTADA;Levantadores 4;16/06/2026;Martes;144116;TERMINADA;COLSEGUROS;CENTRO;10;0;38;38;;;
61;16/06/2026;144667;146;EXPORTADA;Levantadores 4;17/06/2026;Miercoles;145036;TERMINADA;COLSEGUROS;CENTRO;10;0;0;0;;;
62;16/06/2026;144669;147;EXPORTADA;Levantadores 4;17/06/2026;Miercoles;145039;TERMINADA;COLSEGUROS;CENTRO;10;0;36;36;;;
63;16/06/2026;144671;148;EXPORTADA;Levantadores 1;18/06/2026;Jueves;145938;TERMINADA;COLSEGUROS;CENTRO;10;0;21;21;;;
64;16/06/2026;144672;149;EXPORTADA;Levantadores 1;17/06/2026;Miercoles;145046;TERMINADA;COLSEGUROS;CENTRO;10;0;20;20;;;
65;16/06/2026;144674;150;EXPORTADA;Levantadores 2;19/06/2026;Viernes;146864;TERMINADA;COLSEGUROS;CENTRO;10;0;28;28;;;
66;16/06/2026;144675;151;EXPORTADA;Levantadores 2;22/06/2026;Lunes;148155;TERMINADA;COLSEGUROS;CENTRO;10;0;44;44;;;
67;16/06/2026;144670;152;EXPORTADA;Levantadores 4;18/06/2026;Jueves;145925;TERMINADA;COLSEGUROS;CENTRO;10;0;8;8;;;
68;16/06/2026;144677;153;EXPORTADA;Levantadores 2;18/06/2026;Jueves;145946;TERMINADA;COLSEGUROS;CENTRO;10;0;29;29;;;
69;16/06/2026;144799;154;EXPORTADA;Levantadores 3;17/06/2026;Miercoles;145042;TERMINADA;COLSEGUROS;CENTRO;10;0;16;16;;;
70;16/06/2026;144673;155;EXPORTADA;Levantadores 1;17/06/2026;Miercoles;145041;TERMINADA;COLSEGUROS;CENTRO;10;0;7;7;;;
71;18/06/2026;145629;172;EXPORTADA;Levantadores 4;18/06/2026;Jueves;145939;TERMINADA;URB. COLSEGUROS;CENTRO;10;2;30;32;;;
72;18/06/2026;145630;173;EXPORTADA;Levantadores 4;19/06/2026;Viernes;146863;IMPORTADA PARCIAL;URB. COLSEGUROS;CENTRO;10;0;34;34;;;
73;18/06/2026;145632;174;EXPORTADA;Levantadores 2;25/06/2026;Jueves;150265;TERMINADA;URB. COLSEGUROS;CENTRO;10;0;34;34;;;
74;18/06/2026;145633;175;EXPORTADA;Levantadores 1;18/06/2026;Jueves;145942;TERMINADA;URB. COLSEGUROS;CENTRO;10;0;8;8;;;
75;18/06/2026;145634;176;EXPORTADA;Levantadores 1;22/06/2026;Lunes;148161;TERMINADA;URB. COLSEGUROS;CENTRO;10;0;27;27;;;
76;18/06/2026;145635;177;EXPORTADA;Levantadores 1;19/06/2026;Viernes;146865;TERMINADA;URB. COLSEGUROS;CENTRO;10;0;30;30;;;
77;18/06/2026;145636;178;EXPORTADA;Levantadores 1;19/06/2026;Viernes;146861;TERMINADA;URB. COLSEGUROS;CENTRO;10;2;40;42;;;
78;18/06/2026;145637;179;EXPORTADA;Levantadores 3;01/07/2026;Miercoles;153310;TERMINADA;URB. COLSEGUROS;CENTRO;10;0;44;44;;;
79;18/06/2026;145639;180;EXPORTADA;Levantadores 3;30/06/2026;Lunes;152577;TERMINADA;URB. COLSEGUROS;CENTRO;10;0;44;44;;;
80;18/06/2026;145640;181;EXPORTADA;Levantadores 4;22/06/2026;Lunes;148156;TERMINADA;URB. COLSEGUROS;CENTRO;10;0;23;23;;;
81;22/06/2026;148552;182;EXPORTADA;Levantadores 1;01/07/2026;Miercoles;153308;TERMINADA;EL JARDIN;CENTRO;11;0;31;31;;;
82;22/06/2026;148553;183;EXPORTADA;Levantadores 1;25/06/2026;Jueves;150274;TERMINADA;EL JARDIN;CENTRO;11;0;20;20;;;
83;22/06/2026;148554;184;EXPORTADA;Levantadores 1;23/06/2026;Martes;148871;TERMINADA;EL JARDIN;CENTRO;11;0;34;34;;;
84;22/06/2026;148555;185;EXPORTADA;Levantadores 2;26/06/2026;Viernes;150948;TERMINADA;EL JARDIN;CENTRO;11;0;39;39;;;
85;22/06/2026;148556;186;EXPORTADA;Levantadores 2;24/06/2026;Miercoles;149589;TERMINADA;EL JARDIN;CENTRO;11;0;38;38;;;
86;22/06/2026;148557;187;EXPORTADA;Levantadores 2;23/06/2026;Martes;148908;TERMINADA;EL JARDIN;CENTRO;11;0;37;37;;;
87;22/06/2026;152224;188;EXPORTADA;Levantadores 2;30/06/2026;Martes;152579;TERMINADA;EL JARDIN;CENTRO;11;0;37;37;;;
88;29/06/2026;152225;189;EXPORTADA;Levantadores 2;02/07/2026;Jueves;154043;TERMINADA;EL JARDIN;CENTRO;11;0;41;41;;;
89;22/06/2026;148560;190;EXPORTADA;Levantadores 3;22/06/2026;Lunes;;PENDIENTE;EL JARDIN;CENTRO;11;;;0;;;
90;22/06/2026;148561;191;EXPORTADA;Levantadores 3;22/06/2026;Lunes;;PENDIENTE;EL JARDIN;CENTRO;11;;;0;;;
91;22/06/2026;148562;192;EXPORTADA;Levantadores 4;25/06/2026;Jueves;150264;TERMINADA;EL JARDIN;CENTRO;11;0;22;22;;;
92;22/06/2026;148563;193;EXPORTADA;Levantadores 4;30/06/2026;Martes;152568;TERMINADA;EL JARDIN;CENTRO;11;0;35;35;;;
93;22/06/2026;148564;194;EXPORTADA;Levantadores 4;26/06/2026;Viernes;151020;TERMINADA;EL JARDIN;CENTRO;11;2;43;45;;;
94;19/06/2026;146664;195;EXPORTADA;Levantadores 1;22/06/2026;Lunes;148173;PENDIENTE;URB. COLSEGUROS;CENTRO;10;0;27;27;;;
95;24/06/2026;149365;217;EXPORTADA;Levantadores 1;24/06/2026;Miercoles;149594;TERMINADA;AGUACATAL;CENTRO;1;0;8;8;;;
96;02/07/2026;153732;218;EXPORTADA;Levantadores 1;03/07/2026;Viernes;154800;TERMINADA;LA HACIENDA;SUR;17;0;38;38;;;
97;02/07/2026;153733;219;EXPORTADA;Levantadores 1;08/07/2026;Miercoles;157727;TERMINADA;LA HACIENDA;SUR;17;0;42;42;;;
98;02/07/2026;153734;220;EXPORTADA;Levantadores 1;06/07/2026;Lunes;156176;TERMINADA;LA HACIENDA;SUR;17;0;31;31;;;
99;02/07/2026;153735;221;EXPORTADA;Levantadores 1;03/07/2026;Viernes;154809;TERMINADA;LA HACIENDA;SUR;17;0;19;19;;;
100;02/07/2026;153736;222;EXPORTADA;Levantadores 2;08/07/2026;Miercoles;157725;TERMINADA;LA HACIENDA;SUR;17;0;41;41;;;
101;02/07/2026;153737;223;EXPORTADA;Levantadores 2;06/07/2026;Lunes;156172;TERMINADA;LA HACIENDA;SUR;17;2;50;52;;;
102;02/07/2026;153738;224;EXPORTADA;Levantadores 2;06/07/2026;Lunes;156180;TERMINADA;LA HACIENDA;SUR;17;0;19;19;;;
103;02/07/2026;153739;225;EXPORTADA;Levantadores 3;;;;;LA HACIENDA;SUR;17;;;0;;;
104;02/07/2026;153740;226;EXPORTADA;Levantadores 3;;;;;LA HACIENDA;SUR;17;;;0;;;
105;02/07/2026;153741;227;EXPORTADA;Levantadores 3;;;;;LA HACIENDA;SUR;17;;;0;;;
106;02/07/2026;153742;228;EXPORTADA;Levantadores 3;;;;;LA HACIENDA;SUR;17;;;0;;;
107;02/07/2026;153743;229;EXPORTADA;Levantadores 4;03/07/2026;Viernes;154546;TERMINADA;LA HACIENDA;SUR;17;0;30;30;;;
108;02/07/2026;153744;230;EXPORTADA;Levantadores 4;06/07/2026;Lunes;156198;TERMINADA;LA HACIENDA;SUR;17;0;67;67;;;
109;02/07/2026;153745;231;EXPORTADA;Levantadores 4;03/07/2026;Viernes;154786;TERMINADA;LA HACIENDA;SUR;17;0;17;17;;;
